Пълен код на секция,Брой преференции,Име на кандидат,Име на партия,Име на административна единица,ЕКАТТЕ,Име на Населено място,Флаг машинно гласуване
234610064,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
244601007,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,1
244601022,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,1
244601009,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
234617048,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
320200002,34,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100002,"Австрия, Виена",0
326100187,33,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),32. Извън страната,100166,"Чешка република, Прага",0
244601027,33,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
244607012,33,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,0
234610040,33,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
234609029,33,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
234602045,33,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
234602014,32,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,1
234609018,32,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
234610027,32,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,68134,гр. София,0
244601037,32,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),24. СОФИЯ 24 МИР,68134,гр. София,1
234617006,32,Радан Миленов Кънев,ДЕМОКРАТИЧНА БЪЛГАРИЯ – ОБЕДИНЕНИЕ (ДА България и ДСБ),23. СОФИЯ 23 МИР,97015,"гр. София,Кв. Симеоново",0
